,年份,电影名,票房
1290,2018,正好的我们,0.5
1291,2018,龙猫,17367.5
1292,2018,绿毛怪格林奇,2643.7
1293,2018,轻轻握住你的手,5.3
1294,2018,印度合伙人,6755.3
1295,2018,淡蓝琥珀,22.7
1296,2018,大路朝天,2483（至3-2）
1297,2018,片警宝音,14.9
1298,2018,又是一年三月三,804.9
1299,2018,蜘蛛侠：平行宇宙,42743（至3-2）
1300,2018,武林怪兽,7963.3
1301,2018,叶问外传：张天志,13168.8
1302,2018,天气预爆,12375.1
1303,2018,夜魔奇案,23
1304,2018,龟兔大作战,995.8
1305,2018,印度暴徒,6192
1306,2018,神探狗笨吉,395.1
1307,2018,拳职妈妈,0.2
1308,2018,来电狂响,64017.8
1309,2018,断片之险途夺宝,5034.3
1310,2018,云南虫谷,15004.4
1311,2018,两只小猪之勇闯神秘岛,499.7
1312,2018,警车联盟,531.7
1313,2018,阿里巴巴三根金发,1006.9
1314,2018,地球最后的夜晚,28212.1
1315,&#8211;,&#8211;,&#8211;
1316,2019,四个春天,1058
1317,2019,大黄蜂,114755.4
1318,2019,奎迪：英雄再起,1712.6
1319,2019,很高兴遇见·你,38.3
1320,2019,功夫营救,1.2
1321,2019,沉默的雪,25.7
1322,2019,零八三七,0.8
1323,2019,大微商,77.7
1324,2019,养家之人,630.2
1325,2019,营救汪星人,210.2
1326,2019,22年后的自白,534.2
1327,2019,白蛇：缘起,44863.5
1328,2019,命运之夜——天之杯：恶兆之花,3160.4
1329,2019,“大”人物,37966.4
1330,2019,燃点,818.2
1331,2019,汝海风云,21.9
1332,2019,蜻蜓少年,24.5
1333,2019,灵魂的救赎,58.9
1334,2019,蜻蜓少年,24.5
1335,2019,我想吃掉你的胰脏,2385.3
1336,2019,密室逃生,23127.2
1337,2019,森林奇缘,790.7
1338,2019,家和万事惊,3243.8
1339,2019,钢铁飞龙之奥特曼崛起,3913.1
1340,2019,密林诡影,12.9
1341,2019,闯堂兔3囧囧时光机,475.2
1342,2019,占芭花开,2.6
1343,2019,掠食城市,5031.6
1344,2019,差等生乔曦,62
1345,2019,战斗民族养成记,801
1346,2019,大侦探霍桑,791.3
1347,2019,海上浮城,46.3
1348,2019,杨门女将之女将初征,90.3
1349,2019,死侍2：我爱我家,28505.2
1350,2019,夺命杀机,31.8
1351,2019,我们回家吧,1.9
1352,2019,简爱之约,25.4
1353,2019,疯狂的外星人,219197.1
1354,2019,流浪地球,467462.7
1355,2019,飞驰人生,171674.6
1356,2019,新喜剧之王,62443.7
1357,2019,廉政风云,11432.3
1358,2019,神探蒲松龄,15218.2
1359,2019,小猪佩奇过大年,12375.6
1360,2019,熊出没·原始时代,71447.4
1361,2019,今夜在浪漫剧场,1230.7
1362,2019,一吻定情,17345.8
1363,2019,蓝色生死恋,146.9
1364,2019,五十米之恋,136.8
1365,2019,瑞雪兆丰年,19.9
1366,2019,阿丽塔：战斗天使,89516.3
1367,2019,朝花夕誓,1721.9
1368,2019,古井凶灵,534.2
1369,2019,绿皮书,47788.3
1370,2019,逆罪,23.9
1371,2019,驯龙高手3,36685.3
1372,2019,夏目友人帐,11501.9
1373,2019,魔神Z,40.3
1374,2019,血战敖伦布拉格,16.3
1375,2019,醒来之爱的呼唤,280.8
1376,2019,梦想之城,118.5
1377,2019,惊奇队长,103279.3
1378,2019,小石头下乡记,2.7
1379,2019,比悲伤更悲伤的故事,95385.8
1380,2019,阳台上,391.9
1381,2019,江海渔童之巨龟奇缘,87.3
1382,2019,少女宿舍,189.6
1383,2019,我的英雄学院：两位英雄,3873.2
1384,2019,过春天,991.6
1385,2019,把哥哥退货可以吗,171.1
1386,2019,318号公路,66.4
1387,2019,篮球冠军,64
1388,2019,乐高大电影2,1843.5
1389,2019,地久天长,4517.8
1390,2019,老师·好,35333.4
1391,2019,狂暴凶狮,4457.8
1392,2019,夜伴歌声,301.2
1393,2019,波西米亚狂想曲,9883.6
1394,2019,海市蜃楼,11073
1395,2019,小飞象,14744.5
1396,2019,三重威胁之跨国大营救,152.4
1397,2019,警告,60.7
1398,"<span style=""color: #000000;"">2017</span>","<span style=""color: #ff0000;""><span style=""color: #000000;"">精灵怪物：疯狂之旅</span></span>",626
1399,2019,人间·喜剧,6288.4
1400,2019,似水流年,21.3
1401,2019,劫数难逃,24.5
1402,2019,调音师,32439.6
1403,2019,风中有朵雨做的云,6472.2
1404,2019,反贪风暴4,79426.6
1405,2019,守灵,335.1
1406,2019,A测试,0.5
1407,2019,雷霆沙赞！,29388.3
1408,"<span style=""color: #ff0000;"">2014</span>","<span style=""color: #ff0000;"">麦兜·我和我妈妈（重映）</span>",4624.8（总计）
1409,2019,长官传奇,7
1410,2019,源·彩虹,0.4
1411,2019,功夫四侠：勇闯地宫,81.3
1412,2019,青蛙王子历险记,1030.8
1413,2019,难以置信,146.6
1414,2019,在乎你,497.3
1415,2019,我的宠物是大象,254.5
1416,2019,祈祷落幕时,6744.9
1417,2019,欲念游戏,743.8
1418,2019,原来如此,133.9
1419,2019,最佳男友进化论,1474
1420,2019,菲凡记忆,7.6
1421,2019,暗语者,4.3
1422,2019,虫林大作战,772.4
1423,2019,北斗风云,2
1424,2019,如影随心,2630.1
1425,2019,毕业旅行之逍遥骑士,15.3
1426,2019,转型团伙,1670.8
1427,2019,境·界,362.3
1428,2019,神奇乐园历险记,4676.8
1429,2019,HELLO，北京,13.7
1430,2019,狗眼看人心,1871.8
1431,2019,复仇者联盟4：终局之战,423881.7
1432,2019,撞死了一只羊,1037.2
1433,2019,云雾笼罩的山峰,0.7
1434,2019,海门深处,8.1
1435,2019,何以为家,37349.7
1436,2019,天上再见,37.7
1437,2019,动物出击,299
1438,2019,雪暴,2818.8
1439,2019,下一任：前任,12122.2
1440,2019,悟空奇遇记,1884.6
1441,2019,猫公主苏菲,101.4
1442,2019,港珠澳大桥,689.1
1443,2019,国礼,0.1
1444,2019,大破天门阵,0.8
1445,2019,午夜怪谈,153.2
1446,2019,一个母亲的复仇,11159.8
1447,2019,大侦探皮卡丘,63928.8
1448,2019,半边天,35.3
1449,2019,进京城,1462.4
1450,2019,铁拳雄心,17.7
1451,2019,欢迎来北方2,97.2
1452,2019,罗马,507.4
1453,2019,一路疯癫,12.4
1454,2019,向爱而生,4.2
1455,2019,周恩来回延安,2824
1456,2019,海蒂和爷爷,2060.4
1457,2019,柔情史,29.9
1458,2019,最后的勇士,75.4
1459,2019,搞怪奇妙夜,14.4
1460,2019,一条狗的使命2,19596.7
1461,2019,音乐家,479.5
1462,2019,企鹅公路,334.3
1463,2019,致命梦魇,97.3
1464,2019,武陵山上的星光,66.9
1465,2019,双生,1765.2
1466,2019,空天战队之星兽大战,14.3
1467,2019,你好现任,9.7
1468,2019,王者盛宴,4.4
1469,2019,过昭关,30.7
1470,2019,真爱不迟到,90.7
1471,2019,邻座的怪同学,236.1
1472,2019,真爱百分百,109.1
1473,2019,云端之上,226
1474,2019,龙珠超：布罗利,3162.5
1475,2019,大大哒,183.8
1476,2019,1931刺杀宋子文之谜,27.1
1477,2019,午夜废墟,187.8
1478,2019,五月天人生无限公司,5010.2
1479,2019,阿拉丁,36746.3
1480,2019,天眼风云,42
1481,2019,哥斯拉2：怪兽之王,93491.3
1482,2019,托马斯大电影之世界探险记,1676.1
1483,2019,巧虎大飞船历险记,2273.7
1484,2019,噬魂剑,86.2
1485,2019,潜艇总动员：外星宝贝计划,2396.7
1486,2019,哆啦A梦：大雄的月球探险记,13082.4
1487,2019,直播攻略,5.2
1488,2019,无所不能,3539.3
1489,2019,当我们海阔天空,206.1
1490,2019,追龙Ⅱ,30693.3
1491,2019,最好的我们,41270.5
1492,2019,X战警：黑凤凰,40842.1
1493,2019,绝杀慕尼黑,9166.8
1494,2019,黑衣人：全球追缉,30739.6
1495,2019,秦明·生死语者,2987.8
1496,2019,侣行攻略之确认你是我的人,15.3
1497,2019,三流勇士,20.4
1498,2019,冠军的心,80.9
1499,2019,妈阁是座城,5043
1500,2019,白牙,65.8
1501,2019,要活着去天堂,49.5
1502,2019,废柴老爸,521
1503,2019,榫卯,15.6
1504,2019,大河唱,229.1
1505,2019,三年,8.5
1506,"<span style=""color: #ff0000;"">2001</span>","<span style=""color: #ff0000;"">千与千寻（重映）</span>",48688.8
1507,2019,玩具总动员4,20006
1508,2019,监护风云,88
1509,2019,碟仙,5222.4
1510,2019,真相漩涡,67.1
1511,2019,我的青春都是你,1482.8
1512,2019,八子,2064.8
1513,2019,蜘蛛侠：英雄远征,141245.3
1514,2019,潜行者,53.2
1515,2019,学区房72小时,102.2
1516,2019,封口之谜,0.2
1517,2019,星月夜,6.5
1518,2019,上海往事之当年情,2.5
1519,2019,最后一刻,7.6
1520,2019,九龙不败,1800.8
1521,2019,善良的天使,27.4
1522,2019,别岁,23.1
1523,2019,上海的女儿,37.8
1524,2019,爱宠大机密2,15400.3
1525,2019,扫毒2天地对决,129505.6
1526,2019, 猪猪侠·不可思议的世界,3408
1527,2019,他她他她,41.4
1528,2019,狮子王,82990.3
1529,2019,命运之夜——天之杯II ：迷失之蝶,2964.1
1530,2019,跳舞吧！大象,3908.9
1531,2019,素人特工,2236.8
1532,2019,机动战士高达NT,869.1
1533,2019,舞动吧！少年,4.8
1534,2019,嘿，蠢贼,6.7
1535,2019,银河补习班,87234.8
1536,2019,匠心,181.4
1537,2019,猪八戒·传说,6346.1
1538,2019,未来机器城,1689
1539,2019,回到过去拥抱你,1967.4
1540,2019,看不见的小孩,1643.3
1541,2019,游戏人生 零,1394.1
1542,2019,精灵小王子,20.8
1543,2019,心之山,2.8
1544,2019,灰猴,384.6
1545,2019,隧道尽头,810.9
1546,2019,巴比龙,134.3
1547,2019,哪吒之魔童降世,500112.6
1548,2019,烈火英雄,169131.7
1549,2019,古田军号,4037.9
1550,2019,冰雪女王4：魔镜世界,2355.7
1551,2019,鼠胆英雄,10115.5
1552,2019,最美的地方遇见你,20.9
1553,2019,梦想之战：踢球吧阿妹,12
1554,2019,歌唱动荡的青春,16.8
1555,2019,赛尔号大电影7：疯狂机器城,2790
1556,2019,灶神来了,13.4
1557,2019,红花绿叶,23.1
1558,2019,使徒行者2：谍影行动,69941.3
1559,2019,某日某月,35.1
1560,2019,丛林历险记,11.9
1561,2019,红星照耀中国,3027.5
1562,2019,上海堡垒,12195.2
1563,2019,童童的风铃密室,440.1
1564,2019,寻找兰小草,8.3
1565,2019,全职高手之巅峰荣耀,8506.7
1566,2019,送我上青云,2950.5
1567,2019,昨日奇迹,121.5
1568,2019,愤怒的小鸟2,14028.8
1569,2019,龙牌之谜,1850.4
1570,2019,速度与激情：特别行动,143059.8
1571,2019,猎袭,2.3
1572,2019,保持沉默,2153.3
1573,2019,昆虫总动员2,1638
1574,2019,侠路相逢,5.3
1575,2019,到你身边,1
1576,2019,骡子,1077.7
1577,2019,铤而走险,4426.2
1578,2019,女王的柯基,1536.6
1579,2019,深夜食堂,2412.5
1580,2019,死寂逃亡,989.5
1581,2019,共同命运,106.4
1582,2019,老师，你会不会回来,6.4
1583,2019,零零后,505.8
1584,2019,徒手攀岩,3639
1585,2019,检察方的罪人,1338.1
1586,2019,花椒之味,182.5
1587,2019,宝莱坞机器人2.0：重生归来,2137.7
1588,2019,冷血追击,536.4
1589,2019,最长1枪,807.8
1590,2019,樵夫·廖俊波,179.5
1591,2019,罗小黑战记,31382.3
1592,2019,六连煞,26.7
1593,2019,风吹吧麦浪,20.3
1594,2019,骑遇,0.7
1595,2019,高兴逮笨贼,21.3
1596,2019,芬芳,46.5
1597,2019,拿摩一等,16.8
1598,2019,逗爱熊仁镇,627
1599,2019,一生只为一事来,593.7
1600,2019,靠近我温暖你,20.3
1601,2019,爱在长征,0.5
1602,2019,别哭！妈妈,4.9
1603,2019,小小的愿望,26718.3
1604,2019,一切如你,159.1
1605,2019,诛仙,40262.7
1606,2019,名侦探柯南：绀青之拳,23164.6
1607,2019,福星高照朱小八,547.1
1608,2019,杨靖宇,138.7
1609,2019,决胜时刻,11780.5
1610,2019,友情以上,5212.1
1611,2019,小Q,11039.6
1612,2019,二凤,62.9
1613,2019,江南,501.7
1614,2019,攀登者,109694
1615,2019,中国机长,290004.1
1616,2019,我和我的祖国,317118.9
1617,2019,雪人奇缘,10795.5
1618,2019,大话西游之成长的烦恼,45.8
1619,2019,丑娃娃,364.5
1620,2019,亲密旅行,335.3
1621,2019,疯狂斗牛场,76.1
1622,2019,空巢也疯狂,20.1
1623,2019,犯罪现场,25347.3
1624,2019,急速逃脱,445.8
1625,2019,双子杀手,23513.2
1626,2019,侠路相逢,533.2
1627,"<span style=""color: #ff0000;"">1989</span>","<span style=""color: #ff0000;"">开国大典（重映）</span>",86.8（总计）
1628,2019,我在耀瓷小镇等你,103.8
1629,2019,你好霸王龙,154.3
1630,2019,沉睡魔咒2,34529.6
1631,2019,催眠·裁决,8627.5
1632,2019,太阳升起的时刻,1224.1
1633,2019,为国而歌,790.9
1634,2019,少年的你,154494.9
1635,2019,三傻闹地球,487.8
1636,2019,悠然见南山,158.7
1637,2019,六欲天,130.6
1638,2019,终结者：黑暗命运,35519.9
1639,2019,天气之子,28759.9
1640,2019,宠物联盟,1115.5
1641,2019,受益人,21897
1642,2019,我的拳王男友,2446.1
1643,2019,萤火奇兵2：小虫不好惹,450
1644,2019,深海特攻队之超能晶石,104.7
1645,2019,越域重生,8.1
1646,2019,决战中途岛,29425.4
1647,2019,武林孤儿,18.2
1648,2019,订亲,18
1649,2019,黄花塘往事,12.9
1650,2019,他们已不再变老,333.7
1651,2019,海上钢琴师,14348.5
1652,2019,盗梦特攻队,17.8
1653,2019,麦子的盖头,309.2
1654,2019,长安道,2135.5
1655,2019,霹雳娇娃,7572.6
1656,2019,大约在冬季,22779.1
1657,2019,萌宠特工队,846.6
1658,2019,那一夜，我给你开过车,110.8
1659,2019,你是凶手,4118.6
1660,2019,追凶十九年,320.7
1661,2019,归去,10.8
1662,2019,两只老虎,19568
1663,2019,平原上的夏洛克,943.2
1664,2019,衣柜里的冒险王,373
1665,2019,一生有你,4177.3
1666,2019,冰峰暴,1272.3
1667,2019,南方车站的聚会,20292.5
1668,2019,吹哨人,5025.3
1669,2019,勇敢者游戏2：再战巅峰,28924.8
1670,2019,迷局伏香,60.9
1671,2019,红旗渠之归来仍是少年,65
1672,2019,若能与你共乘海浪之上,1396.4
1673,2019,那时风华,1821.5
1674,2019,天·火,16819.3
1675,2019,西河恋歌,14.7
1676,2019,唐顿庄园,2259.8
1677,2019,被光抓走的人,7099.2
1678,2019,误杀,133074.3
1679,2019,父子拳王,19.6
1680,2019,金色荣耀,64.6
1681,2019,魔镜奇缘3,307.9
1682,2019,太空狗之月球大冒险,278.6
1683,2019,坂本龙一：终曲,502.2
1684,2019,崮上情天,7.7
1685,2019,九克拉战栗,70.1
1686,2019,铁血阳泉,97
1687,2019,星球大战9：天行者崛起,14380.2
1688,2019,叶问4,118274.8
1689,2019,只有芸知道,15969.3
1690,2019,惊涛迷局,63.9
1691,2019,半个喜剧,18840.8
1692,2019,迪丽丽的奇幻巴黎,66.9
1693,2019,利刃破冰,216.3
1694,2019,妈妈我想你,75.4
1695,2019,特警队,5708.8
1696,2019,解放·终局营救,4144.8
1697,2019,小羊肖恩2：末日农场,1728
1698,2019,尼斯大冒险,459.4
1699,2019,横财局中局,463.6
1700,2019,宠爱,68427.5
1701,2019,天使陷落,6696.1
1702,2019,妙先生,178.6
1703,2019,亲爱的新年好,6274.1
1704,,,
1705,2020,鹭世界,496.6
1706,1997,美丽人生,5812.4
1707,2020,变身特工,10353.1
1708,"<span style=""color: #ff0000;"">2014</span>","龙之谷：破晓奇兵（<span style=""color: #ff0000;"">重映</span>）",5767.4（总计）
1709,2020,野猪,129.2
1710,2020,别告诉她,411.6
1711,2020,理查德·朱维尔的哀歌,570.8
1712,2020,为家而战,1718.6
1713,2020,紫罗兰永恒花园外传,4859.9
1714,2020,鲨海逃生,4732.1
1715,2020,动物特工局,4428.2
1716,2020,守望人,123.3
1717,2020,第一次的离别,469
1718,"<span style=""color: #ff0000;"">2009</span>","风声（<span style=""color: #ff0000;"">重映</span>）",21705.6（总计）
1719,"<span style=""color: #ff0000;"">2017</span>","寻梦环游记（<span style=""color: #ff0000;"">重映</span>）",122958.7（总计）
1720,"<span style=""color: #ff0000;"">2008</span>","当幸福来敲门（<span style=""color: #ff0000;"">重映</span>）",985.4（总计）
1721,"<span style=""color: #ff0000;"">2018</span>","何以为家（<span style=""color: #ff0000;"">重映</span>）",37692.7（总计）
1722,"<span style=""color: #ff0000;"">2015</span>","夏洛特烦恼（<span style=""color: #ff0000;"">重映</span>）",144768.4（总计）
1723,"<span style=""color: #ff0000;"">2016</span>","疯狂动物城（<span style=""color: #ff0000;"">重映</span>）",153448.9（总计）
1724,2020,喋血战士,4545.6
1725,2020,多力特的奇幻冒险,13608.4
1726,"<span style=""color: #ff0000;"">2014</span>","超能陆战队（<span style=""color: #ff0000;"">重映</span>）",52726.1（总计）
1727,2019,乔乔的异想世界,1134.1
1728,2020,抵达之谜,2535.4
1729,2020,妙先生,1310.5
1730,2020,刺猬索尼克,1994.2
1731,2020,白狮奇缘,88.1
1732,2020,白云之下,149.7
1733,2020,呆瓜兄弟,8.3
1734,"<span style=""color: #ff0000;"">2014</span>","星际穿越（<span style=""color: #ff0000;"">重映</span>）",87681.3
1735,2020,十三猎杀,790.8
1736,2020,1917,6911
1737,2020,旺扎的雨靴,29.1
1738,2020,极速车王,1566.2
1739,"<span style=""color: #ff0000;"">2002</span>","哈利·波特与魔法石（<span style=""color: #ff0000;"">重映</span>）",19155（总计）
1740,2020,绝地战警：疾速追击,3514.4
1741,"<span style=""color: #ff0000;"">2018</span>","悲伤逆流成河（<span style=""color: #ff0000;"">重映</span>）",35747.4（总计）
1742,2020, 辣警霸王花：澳门行动,11.1
1743,2020,禹神传之王者少年,507.7
1744,2020,再见，陌生人,43.7
1745,2020,1/2的魔法,7050.3
1746,2020,魔发精灵2,687.3
1747,2020,八佰,309448.2
1748,2020,北平会馆,823.5
1749,2020,荞麦疯长,5168.5
1750,2020,小妇人,4730.3
1751,2020,我在时间尽头等你,50182.7
1752,2020,今生只为遇见你,0.61
1753,2020,漫长的告别,81.6
1754,"<span style=""color: #ff0000;"">2010</span>","盗梦空间（<span style=""color: #ff0000;"">重映</span>）",49589.5（总计）
1755,2020,信条,45507.1
1756,2020,假面饭店,1701.6
1757,2020,半条被子,51.3
1758,2020,阿里巴巴与神灯,2143.2
1759,2020,新愚公移山,186.1
1760,2020,未知嫌疑人,141
1761,2020,辉夜大小姐想让我告白,1.5
1762,2020,我的女友是机器人,4252
1763,2020,花木兰,27726.5
1764,2020,极寒风暴,83.9
1765,2020,通往春天的列车,324
1766,2020,麦路人,1796
1767,2020,邻里美好的一天,196.4
1768,2020,死无对证,2934.6
1769,2020,蓝色防线,713.6
1770,2020,萌宠流浪记,1116.1
1771,1999,菊次郎的夏天,895.3
1772,2020,夺冠,83485.2
1773,2020,急先锋,29294.6
1774,2020,姜子牙,160017.3
1775,2020,我和我的家乡,282653.2
1776,2020,2019阅兵盛典,2719
1777,2020,一点就到家,31216.8
1778,2020,再见吧！少年,350.8
1779,2020,七号房的礼物,1451.9
1780,2020,喜宝,11345.1
1781,2020,掬水月在手,782.5
1782,2020,秀美人生,5259.2
1783,2020,木兰：横空出世,788.1
1784,2020,天道王,2516.1
1785,2020,82号古宅,766.8
1786,2018,达芬奇大冒险：拯救蒙娜丽莎,204.6
1787,2018,以寡敌众,54
1788,2020,父子拳王,39.4
1789,2020,一丈天地,6
1790,2020,罗非是条鱼,2.3
1791,2020,四年二班,15.5
1792,2020,云做的翅膀,2.3
1793,2020,飞奔去月球,535
1794,2020,金刚川,112295.7
1795,2020,数码宝贝：最后的进化,12528.3
1796,2020,月半爱丽丝,2851.6
1797,2020,网络凶铃,1503.3
1798,2020,红色警戒,34.5
1799,2020,风平浪静,8353.4
1800,2020,未来的未来,998.9
1801,2020,光,342.2
1802,2020,地狱男爵：血皇后崛起,8624.8
1803,2020,达琳达,10.5
1804,2020,一日成交,73.4
1805,2020,热血合唱团,7001.8
1806,2020,汪汪队立大功之超能救援,7907.2
1807,2020,热气球飞行家,2113.6
1808,2020,野性的呼唤,3427.7
1809,2020,马永贞之闸北决,569.9
1810,2020,九条命,158.7
1811,2020,翱翔雄心,140.9
1812,2020,婚前故事,150
1813,2020,冬去冬又来,25.6
1814,2020,橙妹儿的时代,60.1
1815,2020,守望相思树,324.6
1816,2020,天边加油站,64.4
1817,2020,爱情呼叫等待,33.3
1818,2020,气·球,666.4
1819,2020,海兽之子,1636
1820,2020,除暴,53777.1
1821,2020,末日逃生,3423.7
1822,2020,天堂的张望,31.9
1823,2020,妈祖回家,36.8
1824,2020,天下无拐,3.1
1825,"<span style=""color: #ff0000;"">2016</span>"," 麦兜·饭宝奇兵（<span style=""color: #ff0000;"">重映</span>）",1964.2（总计）
1826,2020,应承,95.6
1827,2019,"流浪地球（<span style=""color: #ff0000;"">重映</span>）",417.6
1828,2020,一秒钟,13123.3
1829,2020,日光之下,107
1830,2020,疯狂原始人2,35323.4
1831,2020,闺蜜心窍,397.2
1832,2020,隐形人,2559.3
1833,2002,赤狐书生,18566.9
1834,2020,如果声音不记得,33515.8
1835,2020,宝可梦：超梦的逆袭 进化,1618.3
1836,2020,怪物猎人,3388.4
1837,2020,棒！少年,785.3
1838,2020,沐浴之王,40471.1
1839,2020,哆啦A梦：大雄的新恐龙,6479.6
1840,2020,少女佳禾,782.2
1841,2018,城市猎人,243.6
1842,2019,猎杀T34,2324.7
1843,2020,神奇女侠1984,16716.4
1844,2020,紧急救援,48507.6
1845,2020,奇妙王国之魔法奇缘,1004.7
1846,2020,光语者,38.4
1847,2020,拆弹专家2,131382.5
1848,2020,明天你是否依然爱我,6911.5
1849,2020,封口者,227.3
1850,2020,晴雅集,44271.3
1851,2020,心灵奇旅,37620.6
1852,2020,送你一朵小红花,143246
1853,2020,温暖的抱抱,86429.7
1854,2008,崖上的波妞,2832.9
